ישוב/עיר,16-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,דיווח חלקי
אבו ג'ווייעד (שבט),,,,< 15,< 15,< 15,< 15,,,
אבו גוש,< 15,95,129,124,159,231,86,24,< 15,
אבו סנאן,< 15,111,123,122,137,241,132,32,< 15,
אבו קורינאת (שבט),,< 15,< 15,,,< 15,,< 15,,
אבו רובייעה (שבט),,< 15,,< 15,< 15,< 15,,,,
אבו רוקייק (שבט),< 15,< 15,< 15,< 15,< 15,< 15,,,,
אבו תלול,,< 15,< 15,< 15,< 15,< 15,,,,
אבטין,,26,21,27,58,65,30,15,,
אבן יהודה,17,83,110,409,412,758,671,271,83,
אום אל-פחם,40,541,573,613,910,1047,463,126,16,
אום בטין,,,,< 15,< 15,< 15,< 15,,,
אופקים,37,268,543,494,686,1126,623,315,57,
אור יהודה,19,200,288,485,847,1770,1231,511,137,< 15
אור עקיבא,16,87,228,324,453,971,642,269,52,
אורנית,< 15,64,75,208,316,545,344,57,< 15,< 15
אזור,< 15,53,93,143,245,694,595,179,37,
אחוזת ברק,< 15,26,46,107,157,124,76,18,< 15,
אטרש (שבט),,< 15,< 15,,,< 15,,,,
אילת,57,312,579,1100,2340,3042,2001,667,78,< 15
אכסאל,< 15,162,211,215,310,329,183,39,< 15,
אל סייד,,< 15,< 15,< 15,< 15,,< 15,,,
אלון שבות,18,96,72,106,130,130,125,52,< 15,
אליכין,< 15,17,27,48,105,188,102,50,16,
אלעד,37,126,199,409,260,265,198,43,< 15,
אלעזר,22,39,38,109,108,61,30,18,< 15,
אלפי מנשה,< 15,38,65,144,187,401,281,31,< 15,
אלקנה,20,48,76,121,114,224,259,68,< 15,
אעבלין,< 15,119,157,184,196,313,183,37,< 15,< 15
אעצם (שבט),,< 15,,< 15,< 15,< 15,< 15,,,
אפרת,47,194,335,302,376,545,247,74,17,
אריאל,21,99,168,264,504,1046,618,266,43,
אשדוד,171,1153,1884,3152,5215,8861,7312,3910,776,< 15
אשקלון,187,901,1963,2770,3763,7627,5558,2707,584,< 15
באקה אל-גרביה,43,420,449,527,760,762,386,122,< 15,< 15
באר יעקב,< 15,82,352,506,487,1024,619,113,15,< 15
באר שבע,370,2467,4048,5080,6859,11439,8060,4325,934,18
בועיינה-נוג'ידאת,< 15,110,125,108,117,130,93,17,< 15,< 15
בוקעאתא,< 15,76,94,125,153,155,64,20,< 15,< 15
ביר אל-מכסור,< 15,74,147,112,153,237,108,46,< 15,
ביר הדאג',,,< 15,,< 15,,,,,
בית אל,23,107,81,109,179,224,149,38,< 15,
בית אריה,15,46,49,150,228,234,145,32,< 15,< 15
בית ג'ן,< 15,92,149,170,151,226,96,50,< 15,
בית דגן,< 15,41,49,114,229,344,229,91,21,
בית חשמונאי,< 15,< 15,21,83,82,125,46,< 15,,
בית יצחק-שער חפר,< 15,< 15,23,64,102,167,160,63,21,
בית שאן,< 15,82,159,257,679,1213,657,220,48,< 15
בית שמש,282,921,1098,1554,1579,2141,1287,571,99,< 15
ביתר עילית,82,402,376,431,323,228,105,35,< 15,
בני ברק,133,933,1139,1168,1627,3573,3184,1342,437,< 15
"בני עי""ש",< 15,29,41,59,138,300,178,128,41,< 15
בנימינה-גבעת עדה,25,67,154,433,472,584,440,133,28,
"בסמ""ה",< 15,106,115,94,107,147,66,19,< 15,
בסמת טבעון,< 15,42,65,83,78,102,61,< 15,< 15,
בענה,< 15,71,86,49,62,88,53,16,< 15,
ברכה,< 15,25,34,37,23,32,21,< 15,< 15,
ברקת,< 15,< 15,< 15,< 15,19,35,22,< 15,< 15,
בת חפר,< 15,51,33,127,375,224,93,34,< 15,
בת ים,48,417,694,1264,2070,6374,7039,3984,965,< 15
גבע בנימין,< 15,30,37,78,79,118,48,< 15,< 15,
גבעת אבני,< 15,36,27,68,207,206,89,21,< 15,
גבעת ברנר,< 15,24,25,87,101,96,149,61,21,
גבעת זאב,19,167,269,238,360,786,450,147,23,< 15
גבעת שמואל,49,299,362,685,763,1201,1143,509,104,< 15
גבעתיים,40,331,829,1309,1652,2909,2854,1817,712,< 15
ג'דיידה-מכר,< 15,194,200,178,254,406,185,59,< 15,< 15
גדרה,27,120,204,680,825,1043,794,436,133,20
ג'ולס,,42,51,61,74,103,50,20,< 15,
ג'לג'וליה,< 15,42,49,44,57,82,36,20,,
גן יבנה,36,167,180,581,867,950,547,170,19,< 15
גן נר,< 15,33,31,99,219,230,74,17,< 15,
גני מודיעין,,< 15,17,15,< 15,31,< 15,< 15,< 15,
גני תקווה,23,123,261,549,718,1245,1162,566,101,< 15
ג'סר א-זרקא,< 15,183,262,244,111,130,48,< 15,< 15,
ג'ש (גוש חלב),< 15,67,86,83,144,135,78,54,< 15,
ג'ת,18,159,197,205,239,293,134,52,< 15,
דאלית אל-כרמל,15,85,146,203,277,436,231,60,< 15,
דבוריה,23,161,192,188,240,205,117,29,< 15,
דייר אל-אסד,< 15,161,144,135,195,253,121,40,< 15,
דייר חנא,< 15,118,115,130,171,246,148,52,< 15,
